date    ,name           ,long.         
02.05.1904,Jupiter        , 14.7637096
02.05.1904,Saturn         , 320.2813073
02.05.1904,Uranus         , 269.6391475
02.05.1904,Neptune        , 93.7717736
02.05.1904,Pluto          , 79.2937417
16.05.1904,Jupiter        , 17.8846935
16.05.1904,Saturn         , 320.7983884
16.05.1904,Uranus         , 269.2649371
16.05.1904,Neptune        , 94.1588772
16.05.1904,Pluto          , 79.5777944
30.05.1904,Jupiter        , 20.8017507
30.05.1904,Saturn         , 321.0025905
30.05.1904,Uranus         , 268.7848705
30.05.1904,Neptune        , 94.6094287
30.05.1904,Pluto          , 79.8902370
13.06.1904,Jupiter        , 23.4538581
13.06.1904,Saturn         , 320.8882761
13.06.1904,Uranus         , 268.2382053
13.06.1904,Neptune        , 95.1034702
13.06.1904,Pluto          , 80.2163104
27.06.1904,Jupiter        , 25.7708566
27.06.1904,Saturn         , 320.4673031
27.06.1904,Uranus         , 267.6691760
27.06.1904,Neptune        , 95.6205737
27.06.1904,Pluto          , 80.5413688
11.07.1904,Jupiter        , 27.6807228
11.07.1904,Saturn         , 319.7778791
11.07.1904,Uranus         , 267.1236734
11.07.1904,Neptune        , 96.1388700
11.07.1904,Pluto          , 80.8504941
25.07.1904,Jupiter        , 29.1038737
25.07.1904,Saturn         , 318.8812518
25.07.1904,Uranus         , 266.6455092
25.07.1904,Neptune        , 96.6375005
25.07.1904,Pluto          , 81.1298062
08.08.1904,Jupiter        , 29.9675237
08.08.1904,Saturn         , 317.8636155
08.08.1904,Uranus         , 266.2726679
08.08.1904,Neptune        , 97.0953153
08.08.1904,Pluto          , 81.3662206
22.08.1904,Jupiter        , 30.2085217
22.08.1904,Saturn         , 316.8242989
22.08.1904,Uranus         , 266.0353623
22.08.1904,Neptune        , 97.4929923
22.08.1904,Pluto          , 81.5486953
05.09.1904,Jupiter        , 29.8024066
05.09.1904,Saturn         , 315.8683235
05.09.1904,Uranus         , 265.9535642
05.09.1904,Neptune        , 97.8126376
05.09.1904,Pluto          , 81.6681585
19.09.1904,Jupiter        , 28.7778384
19.09.1904,Saturn         , 315.0903575
19.09.1904,Uranus         , 266.0377220
19.09.1904,Neptune        , 98.0396385
19.09.1904,Pluto          , 81.7187235
03.10.1904,Jupiter        , 27.2513153
03.10.1904,Saturn         , 314.5672570
03.10.1904,Uranus         , 266.2876682
03.10.1904,Neptune        , 98.1629088
03.10.1904,Pluto          , 81.6978053
17.10.1904,Jupiter        , 25.4214240
17.10.1904,Saturn         , 314.3494072
17.10.1904,Uranus         , 266.6952028
17.10.1904,Neptune        , 98.1767099
17.10.1904,Pluto          , 81.6070404
31.10.1904,Jupiter        , 23.5581347
31.10.1904,Saturn         , 314.4614891
31.10.1904,Uranus         , 267.2435150
31.10.1904,Neptune        , 98.0813065
31.10.1904,Pluto          , 81.4523779
14.11.1904,Jupiter        , 21.9366246
14.11.1904,Saturn         , 314.9034285
14.11.1904,Uranus         , 267.9104744
14.11.1904,Neptune        , 97.8840827
14.11.1904,Pluto          , 81.2441922
28.11.1904,Jupiter        , 20.7917050
28.11.1904,Saturn         , 315.6561818
28.11.1904,Uranus         , 268.6679553
28.11.1904,Neptune        , 97.5998871
28.11.1904,Pluto          , 80.9969873
12.12.1904,Jupiter        , 20.2665645
12.12.1904,Saturn         , 316.6860814
12.12.1904,Uranus         , 269.4852299
12.12.1904,Neptune        , 97.2503571
12.12.1904,Pluto          , 80.7282525
26.12.1904,Jupiter        , 20.4203156
26.12.1904,Saturn         , 317.9500072
26.12.1904,Uranus         , 270.3280481
26.12.1904,Neptune        , 96.8631055
26.12.1904,Pluto          , 80.4576566
09.01.1905,Jupiter        , 21.2343708
09.01.1905,Saturn         , 319.3989266
09.01.1905,Uranus         , 271.1623050
09.01.1905,Neptune        , 96.4687616
09.01.1905,Pluto          , 80.2048119
23.01.1905,Jupiter        , 22.6501369
23.01.1905,Saturn         , 320.9806512
23.01.1905,Uranus         , 271.9527138
23.01.1905,Neptune        , 96.0992045
23.01.1905,Pluto          , 79.9884419
06.02.1905,Jupiter        , 24.5816511
06.02.1905,Saturn         , 322.6419867
06.02.1905,Uranus         , 272.6667233
06.02.1905,Neptune        , 95.7834620
06.02.1905,Pluto          , 79.8239359
20.02.1905,Jupiter        , 26.9411414
20.02.1905,Saturn         , 324.3294420
20.02.1905,Uranus         , 273.2734940
20.02.1905,Neptune        , 95.5465444
20.02.1905,Pluto          , 79.7232797
06.03.1905,Jupiter        , 29.6390349
06.03.1905,Saturn         , 325.9908590
06.03.1905,Uranus         , 273.7477596
06.03.1905,Neptune        , 95.4061537
06.03.1905,Pluto          , 79.6932801
